ip,appears_as_source,appears_as_dest,total_events,total_attacks,unique_attack_families
178.255.83.1,True,True,20318,0.0,1
72.21.91.29,True,True,17498,0.0,1
162.208.20.178,True,True,16249,0.0,1
23.50.75.27,True,True,14754,0.0,1
50.63.243.230,True,True,9588,0.0,1
23.61.187.27,True,True,8658,0.0,1
23.60.139.27,True,True,7953,0.0,1
162.208.22.34,True,True,7032,0.0,1
72.167.239.239,True,True,6640,0.0,1
35.186.227.40,True,True,5665,0.0,1
162.213.33.50,True,True,5301,0.0,1
173.241.242.143,True,True,5193,0.0,1
142.0.160.53,True,True,5054,0.0,1
69.172.216.111,True,True,4394,0.0,1
172.217.12.130,True,True,3439,0.0,1
172.217.12.194,True,True,3428,0.0,1
157.240.2.25,True,True,3253,0.0,1
172.217.3.98,True,True,3164,0.0,1
23.111.11.111,True,True,3124,0.0,1
172.217.12.206,True,True,3108,0.0,1
61.251.165.12,True,True,3073,0.0,1
205.174.165.73,True,True,3005,1998.0,3
172.217.12.174,True,True,2879,0.0,1
172.217.10.238,True,True,2835,0.0,1
157.240.2.35,True,True,2749,0.0,1
172.217.11.2,True,True,2675,0.0,1
172.217.3.110,True,True,2647,0.0,1
172.217.10.226,True,True,2645,0.0,1
172.217.11.14,True,True,2633,0.0,1
172.217.9.238,True,True,2615,0.0,1
172.217.12.162,True,True,2557,0.0,1
172.217.6.194,True,True,2485,0.0,1
172.217.10.2,True,True,2468,0.0,1
31.13.80.12,True,True,2427,0.0,1
172.217.6.226,True,True,2418,0.0,1
172.217.10.66,True,True,2401,0.0,1
23.52.155.27,True,True,2400,0.0,1
172.217.10.14,True,True,2398,0.0,1
173.241.242.220,True,True,2349,0.0,1
23.194.182.12,True,True,2349,0.0,1
173.223.152.83,True,True,2340,0.0,1
162.213.33.44,True,True,2302,0.0,1
23.54.187.27,True,True,2285,0.0,1
104.88.89.135,True,True,2279,0.0,1
69.172.216.55,True,True,2275,0.0,1
172.217.6.206,True,True,2214,0.0,1
63.251.98.12,True,True,2149,0.0,1
172.217.11.34,True,True,2141,0.0,1
172.217.7.2,True,True,2121,0.0,1
172.217.10.34,True,True,2079,0.0,1
172.217.10.98,True,True,2030,0.0,1
74.119.118.94,True,True,2007,0.0,1
172.217.10.130,True,True,1984,0.0,1
157.240.18.19,True,True,1979,0.0,1
172.217.12.142,True,True,1963,0.0,1
172.217.10.142,True,True,1961,0.0,1
31.13.71.7,True,True,1928,0.0,1
172.217.6.238,True,True,1922,0.0,1
172.217.10.46,True,True,1888,0.0,1
157.240.18.35,True,True,1882,0.0,1
172.217.11.46,True,True,1881,0.0,1
172.217.10.78,True,True,1861,0.0,1
172.217.9.226,True,True,1786,0.0,1
74.119.118.74,True,True,1723,0.0,1
93.184.216.180,True,True,1674,0.0,1
216.58.219.238,True,True,1649,0.0,1
216.58.219.226,True,True,1637,0.0,1
152.163.56.2,True,True,1540,0.0,1
199.96.57.6,True,True,1529,0.0,1
31.13.71.36,True,True,1524,0.0,1
199.167.65.25,True,True,1513,0.0,1
192.82.242.50,True,True,1488,0.0,1
172.217.10.110,True,True,1434,0.0,1
68.67.178.196,True,True,1425,0.0,1
52.84.145.207,True,True,1419,0.0,1
162.213.33.48,True,True,1414,0.0,1
35.186.253.0,True,True,1413,0.0,1
31.13.80.36,True,True,1406,0.0,1
172.217.12.198,True,True,1401,0.0,1
178.172.160.2,True,True,1395,0.0,1
152.163.66.165,True,True,1388,0.0,1
172.217.12.195,True,True,1363,0.0,1
104.16.25.92,True,True,1353,0.0,1
192.243.232.58,True,True,1352,0.0,1
68.67.178.176,True,True,1321,0.0,1
192.229.211.40,True,True,1306,0.0,1
151.101.208.166,True,True,1306,0.0,1
172.217.12.163,True,True,1290,0.0,1
151.101.0.166,True,True,1276,0.0,1
72.30.3.43,True,True,1270,0.0,1
72.30.2.182,True,True,1268,0.0,1
50.116.194.21,True,True,1235,0.0,1
172.217.12.166,True,True,1232,0.0,1
52.84.145.164,True,True,1232,0.0,1
74.117.200.68,True,True,1212,0.0,1
68.67.178.243,True,True,1207,0.0,1
104.88.66.118,True,True,1196,0.0,1
52.84.145.117,True,True,1194,0.0,1
172.217.11.3,True,True,1189,0.0,1
8.0.6.4,False,True,1184,0.0,1
8.6.0.1,True,False,1184,0.0,1
216.58.219.194,True,True,1181,0.0,1
162.208.22.39,True,True,1180,0.0,1
23.208.165.24,True,True,1171,0.0,1
125.212.216.123,True,True,1170,0.0,1
205.185.216.42,True,True,1170,0.0,1
172.217.10.227,True,True,1170,0.0,1
52.84.145.70,True,True,1165,0.0,1
68.67.178.138,True,True,1156,0.0,1
52.71.109.106,True,True,1153,0.0,1
151.101.20.166,True,True,1148,0.0,1
68.67.178.199,True,True,1134,0.0,1
98.139.225.43,True,True,1130,0.0,1
64.147.131.201,True,True,1128,0.0,1
50.116.194.23,True,True,1125,0.0,1
68.67.178.252,True,True,1119,0.0,1
23.15.155.27,True,True,1111,0.0,1
151.101.2.2,True,True,1106,0.0,1
52.84.145.136,True,True,1083,0.0,1
23.194.141.179,True,True,1082,0.0,1
68.67.178.170,True,True,1080,0.0,1
172.217.7.14,True,True,1079,0.0,1
52.84.145.252,True,True,1074,0.0,1
98.139.225.35,True,True,1074,0.0,1
151.101.0.249,True,True,1069,0.0,1
93.184.216.172,True,True,1065,0.0,1
172.217.3.99,True,True,1056,0.0,1
68.67.178.111,True,True,1048,0.0,1
74.119.118.67,True,True,1045,0.0,1
172.217.9.227,True,True,1043,0.0,1
68.67.180.45,True,True,1030,0.0,1
67.72.99.137,True,True,1026,0.0,1
68.67.178.132,True,True,1020,0.0,1
172.217.10.230,True,True,1014,0.0,1
172.217.10.6,True,True,1009,0.0,1
31.13.69.203,True,True,1008,0.0,1
69.172.216.56,True,True,1004,0.0,1
199.59.88.242,True,True,1003,0.0,1
68.67.178.230,True,True,1001,0.0,1
8.41.222.241,True,True,1001,0.0,1
68.67.178.173,True,True,996,0.0,1
91.189.89.198,False,True,989,0.0,1
23.194.109.232,True,True,984,0.0,1
62.161.94.230,True,True,979,0.0,1
151.101.44.134,True,True,979,0.0,1
151.101.22.2,True,True,976,0.0,1
68.67.178.246,True,True,973,0.0,1
68.67.178.110,True,True,971,0.0,1
192.0.77.32,True,True,969,0.0,1
205.185.208.154,True,True,966,0.0,1
199.244.49.56,True,True,965,0.0,1
87.106.49.27,True,True,958,0.0,1
172.217.6.230,True,True,951,0.0,1
68.67.180.12,True,True,948,0.0,1
172.217.12.131,True,True,946,0.0,1
23.194.142.69,True,True,946,0.0,1
91.189.89.199,False,True,943,0.0,1
104.16.24.92,True,True,941,0.0,1
68.67.180.44,True,True,934,0.0,1
68.67.178.137,True,True,925,0.0,1
52.84.145.135,True,True,924,0.0,1
172.217.3.102,True,True,910,0.0,1
156.154.200.36,True,True,905,0.0,1
23.15.4.18,True,True,905,0.0,1
208.111.171.200,True,True,903,0.0,1
104.16.26.92,True,True,902,0.0,1
68.67.178.197,True,True,898,0.0,1
204.79.197.200,True,True,896,0.0,1
185.13.88.201,True,True,894,0.0,1
172.217.10.35,True,True,894,0.0,1
162.248.16.28,True,True,889,0.0,1
172.217.6.227,True,True,884,0.0,1
172.217.10.3,True,True,879,0.0,1
52.84.145.65,True,True,875,0.0,1
104.16.27.92,True,True,870,0.0,1
172.217.10.131,True,True,867,0.0,1
91.189.91.157,False,True,866,0.0,1
172.217.12.134,True,True,865,0.0,1
72.167.18.239,True,True,854,0.0,1
23.15.4.8,True,True,848,0.0,1
23.15.4.9,True,True,848,0.0,1
69.16.175.42,True,True,842,0.0,1
172.217.12.132,True,True,841,0.0,1
178.172.160.5,True,True,839,0.0,1
172.217.10.129,True,True,835,0.0,1
151.101.1.108,True,True,830,0.0,1
69.166.1.14,True,True,829,0.0,1
172.217.10.99,True,True,828,0.0,1
211.233.74.132,True,True,825,0.0,1
74.119.118.82,True,True,823,0.0,1
68.67.178.109,True,True,823,0.0,1
72.21.91.70,True,True,820,0.0,1
216.58.219.206,True,True,818,0.0,1
54.192.37.158,True,True,814,0.0,1
23.15.4.11,True,True,803,0.0,1
172.217.11.6,True,True,798,0.0,1
8.43.72.21,True,True,796,0.0,1
23.15.4.17,True,True,796,0.0,1
178.172.160.3,True,True,793,0.0,1
104.16.25.216,True,True,792,0.0,1
172.217.9.230,True,True,788,0.0,1
54.192.37.10,True,True,788,0.0,1
23.208.158.158,True,True,787,0.0,1
104.97.137.120,True,True,786,0.0,1
152.163.66.131,True,True,786,0.0,1
23.15.4.16,True,True,785,0.0,1
104.88.87.78,True,True,784,0.0,1
172.217.3.100,True,True,784,0.0,1
172.217.11.35,True,True,780,0.0,1
178.239.182.230,True,True,779,0.0,1
104.16.27.216,True,True,778,0.0,1
213.180.204.92,True,True,776,0.0,1
104.16.28.216,True,True,776,0.0,1
172.217.10.38,True,True,775,0.0,1
23.194.108.108,True,True,771,0.0,1
172.217.10.225,True,True,771,0.0,1
172.217.12.161,True,True,769,0.0,1
172.217.10.134,True,True,756,0.0,1
113.29.189.10,True,True,748,0.0,1
23.208.162.98,True,True,747,0.0,1
204.15.8.11,True,True,746,0.0,1
172.217.12.193,True,True,744,0.0,1
104.16.24.216,True,True,741,0.0,1
104.16.26.216,True,True,735,0.0,1
172.217.6.195,True,True,735,0.0,1
213.239.195.215,True,True,730,0.0,1
192.229.211.82,True,True,726,0.0,1
23.194.142.5,True,True,726,0.0,1
172.217.10.1,True,True,723,0.0,1
8.43.72.98,True,True,722,0.0,1
199.166.0.200,True,True,718,0.0,1
8.41.222.134,True,True,717,0.0,1
119.205.194.11,True,True,711,0.0,1
54.192.37.200,True,True,706,0.0,1
133.237.48.235,True,True,705,0.0,1
192.82.242.21,True,True,698,0.0,1
34.192.107.197,True,True,694,0.0,1
172.217.10.132,True,True,691,0.0,1
104.16.28.92,True,True,679,0.0,1
107.178.245.205,True,True,675,0.0,1
107.178.247.57,True,True,673,0.0,1
172.217.10.70,True,True,668,0.0,1
172.217.6.193,True,True,663,0.0,1
172.217.9.225,True,True,653,0.0,1
138.108.7.20,True,True,651,0.0,1
23.192.9.190,True,True,651,0.0,1
172.217.10.102,True,True,649,0.0,1
63.251.88.56,True,True,649,0.0,1
192.0.73.2,True,True,648,0.0,1
151.101.0.175,True,True,645,0.0,1
69.16.175.10,True,True,644,0.0,1
192.0.77.2,True,True,644,0.0,1
31.13.80.2,True,True,643,0.0,1
54.192.37.17,True,True,642,0.0,1
104.84.148.123,True,True,637,0.0,1
162.248.16.24,True,True,634,0.0,1
172.217.10.67,True,True,633,0.0,1
107.178.242.85,True,True,628,0.0,1
172.217.3.97,True,True,628,0.0,1
64.4.54.254,True,True,626,0.0,1
74.217.253.61,True,True,626,0.0,1
151.101.210.2,True,True,620,0.0,1
208.81.233.48,True,True,619,0.0,1
205.185.216.10,True,True,618,0.0,1
8.43.72.97,True,True,614,0.0,1
31.13.69.228,True,True,611,0.0,1
23.15.4.10,True,True,608,0.0,1
172.217.7.3,True,True,608,0.0,1
